Timestamp,Light_Intensity,Sound_Level,Motion_Density,Temperature,Humidity,Light_RGB,Brightness,Anim_Speed,Style,Complexity,Confidence,Engagement_Time,User_Sentiment,Interaction_Freq,Target
2025-01-01 12:00:00,115,80,0.64,26,55,"(12, 130, 22)",220,1,fluid,0.88,0.84,48,neutral,2,0.33
2025-01-01 12:00:05,197,45,0.52,27,60,"(239, 89, 219)",154,5,geometric,0.42,0.92,62,neutral,1,0.37
2025-01-01 12:00:10,375,68,0.4,24,46,"(97, 44, 254)",72,7,abstract,0.77,0.96,41,negative,6,0.3
2025-01-01 12:00:15,457,54,0.05,21,58,"(155, 9, 107)",87,5,fluid,0.44,0.91,110,negative,0,0.5
2025-01-01 12:00:20,453,89,0.2,22,50,"(140, 153, 97)",239,9,abstract,0.48,0.82,15,neutral,16,0.4
2025-01-01 12:00:25,400,50,0.05,30,45,"(19, 6, 84)",59,1,geometric,0.44,0.92,67,positive,19,0.76
2025-01-01 12:00:30,222,75,0.75,27,64,"(200, 4, 219)",211,2,abstract,0.38,0.81,117,positive,9,0.82
2025-01-01 12:00:35,499,34,0.53,32,67,"(216, 62, 127)",173,4,surreal,0.34,0.91,88,neutral,11,0.63
2025-01-01 12:00:40,388,61,0.32,29,56,"(223, 11, 221)",206,3,abstract,0.62,0.86,84,negative,11,0.56
2025-01-01 12:00:45,357,54,0.08,20,55,"(42, 233, 193)",89,7,geometric,0.87,0.99,109,negative,12,0.67
2025-01-01 12:00:50,354,77,0.18,30,52,"(159, 57, 255)",236,4,geometric,0.32,0.9,89,positive,15,0.8
2025-01-01 12:00:55,251,57,0.7,34,66,"(151, 82, 170)",168,8,abstract,0.74,0.89,11,negative,2,0.12
2025-01-01 12:01:00,286,69,0.62,24,44,"(172, 50, 33)",76,7,fluid,0.5,0.96,86,neutral,6,0.55
2025-01-01 12:01:05,275,72,0.07,20,41,"(108, 106, 58)",203,4,abstract,0.81,0.86,42,positive,8,0.49
2025-01-01 12:01:10,373,76,0.7,33,47,"(102, 248, 226)",190,4,geometric,0.4,0.98,93,negative,13,0.62
2025-01-01 12:01:15,357,49,0.79,25,61,"(199, 114, 140)",133,4,abstract,0.59,0.98,58,negative,12,0.46
2025-01-01 12:01:20,456,85,0.81,22,40,"(115, 138, 84)",80,2,surreal,0.85,0.78,116,positive,3,0.73
2025-01-01 12:01:25,209,31,0.41,24,65,"(33, 150, 102)",150,6,surreal,0.47,0.77,54,positive,6,0.52
2025-01-01 12:01:30,262,65,0.78,27,51,"(182, 151, 210)",100,3,fluid,0.32,0.83,54,neutral,6,0.42
2025-01-01 12:01:35,209,64,0.25,21,55,"(5, 80, 186)",138,5,fluid,0.41,0.77,72,negative,5,0.42
2025-01-01 12:01:40,145,31,0.65,30,60,"(254, 172, 245)",146,2,geometric,0.54,0.81,48,positive,12,0.58
2025-01-01 12:01:45,280,86,0.42,22,43,"(234, 204, 26)",94,5,geometric,0.51,0.94,116,neutral,17,0.84
2025-01-01 12:01:50,139,76,0.16,24,53,"(66, 9, 45)",106,8,fluid,0.71,0.82,83,positive,18,0.82
2025-01-01 12:01:55,322,41,0.57,32,56,"(8, 136, 50)",67,9,fluid,0.72,0.77,115,neutral,11,0.74
2025-01-01 12:02:00,102,84,0.24,27,49,"(115, 101, 108)",167,7,geometric,0.74,0.83,47,positive,9,0.53
2025-01-01 12:02:05,260,46,0.63,31,66,"(59, 134, 174)",186,1,abstract,0.87,0.75,88,negative,2,0.44
2025-01-01 12:02:10,131,33,0.8,28,44,"(32, 15, 171)",110,6,fluid,0.53,0.82,15,negative,13,0.3
2025-01-01 12:02:15,191,51,0.42,25,44,"(49, 133, 183)",112,8,abstract,0.43,0.92,90,negative,9,0.55
2025-01-01 12:02:20,430,44,0.87,26,50,"(146, 208, 123)",213,7,geometric,0.73,0.84,104,neutral,6,0.62
2025-01-01 12:02:25,196,66,0.06,27,45,"(172, 80, 167)",104,4,geometric,0.7,0.74,87,positive,16,0.8
2025-01-01 12:02:30,429,60,0.52,34,43,"(158, 18, 109)",132,2,surreal,0.77,0.97,66,negative,3,0.36
2025-01-01 12:02:35,421,66,0.63,32,49,"(125, 223, 225)",131,1,fluid,0.78,0.78,61,negative,15,0.52
2025-01-01 12:02:40,137,68,0.81,30,46,"(8, 251, 99)",135,6,surreal,0.73,0.92,24,negative,14,0.35
2025-01-01 12:02:45,312,47,0.1,30,67,"(81, 249, 39)",137,5,abstract,0.69,0.78,83,negative,8,0.51
2025-01-01 12:02:50,118,70,0.54,34,65,"(86, 147, 174)",222,8,surreal,0.72,0.9,104,negative,14,0.68
2025-01-01 12:02:55,144,41,0.7,26,69,"(254, 90, 20)",67,4,fluid,0.56,0.94,99,positive,9,0.75
2025-01-01 12:03:00,188,72,0.11,30,68,"(138, 68, 120)",203,2,abstract,0.87,0.74,62,negative,17,0.55
2025-01-01 12:03:05,382,77,0.6,30,52,"(205, 9, 141)",156,7,fluid,0.84,0.73,74,positive,3,0.55
2025-01-01 12:03:10,110,58,0.86,30,60,"(113, 183, 189)",226,9,geometric,0.47,0.72,102,negative,1,0.48
2025-01-01 12:03:15,346,45,0.97,28,69,"(204, 163, 43)",120,6,fluid,0.82,0.83,44,neutral,11,0.45
2025-01-01 12:03:20,326,73,0.6,26,41,"(108, 120, 151)",246,1,surreal,0.88,0.75,64,neutral,12,0.55
2025-01-01 12:03:25,343,70,0.59,33,44,"(150, 60, 77)",100,8,surreal,0.33,0.95,54,negative,16,0.51
2025-01-01 12:03:30,466,54,0.93,30,64,"(225, 6, 234)",201,8,surreal,0.39,0.81,110,neutral,15,0.78
2025-01-01 12:03:35,174,57,0.56,32,45,"(6, 24, 111)",205,3,geometric,0.42,0.89,14,neutral,7,0.26
2025-01-01 12:03:40,140,66,0.7,21,42,"(250, 43, 35)",110,3,surreal,0.54,0.86,34,negative,17,0.44
2025-01-01 12:03:45,355,86,0.63,27,42,"(40, 226, 204)",68,1,surreal,0.89,0.77,30,positive,11,0.49
2025-01-01 12:03:50,255,87,0.89,28,46,"(147, 195, 120)",71,1,abstract,0.51,0.77,79,neutral,12,0.61
2025-01-01 12:03:55,165,71,0.73,26,40,"(127, 60, 232)",86,7,geometric,0.89,0.74,71,negative,3,0.38
2025-01-01 12:04:00,153,50,0.26,21,48,"(6, 74, 99)",83,9,fluid,0.49,0.93,21,negative,12,0.31
2025-01-01 12:04:05,229,40,0.43,31,59,"(142, 131, 139)",51,1,geometric,0.77,0.82,112,neutral,2,0.6
2025-01-01 12:04:10,411,61,0.88,28,43,"(235, 12, 5)",121,9,geometric,0.6,0.72,15,positive,5,0.34
2025-01-01 12:04:15,232,57,0.44,22,41,"(172, 56, 7)",140,2,geometric,0.75,0.88,64,neutral,8,0.49
2025-01-01 12:04:20,301,33,0.38,30,41,"(53, 56, 71)",81,3,geometric,0.57,0.81,41,neutral,16,0.51
2025-01-01 12:04:25,430,89,0.74,20,44,"(27, 23, 162)",59,4,geometric,0.84,0.98,98,neutral,7,0.61
2025-01-01 12:04:30,298,32,0.97,25,58,"(174, 123, 101)",152,5,fluid,0.49,0.73,74,neutral,12,0.59
2025-01-01 12:04:35,158,60,0.21,23,62,"(51, 229, 165)",150,9,surreal,0.47,0.9,54,negative,10,0.42
2025-01-01 12:04:40,244,79,0.39,25,46,"(166, 183, 241)",233,2,fluid,0.52,0.79,44,positive,17,0.64
2025-01-01 12:04:45,431,68,0.48,23,64,"(58, 72, 217)",84,6,fluid,0.81,0.78,105,negative,12,0.66
2025-01-01 12:04:50,101,78,0.51,30,62,"(9, 206, 106)",193,4,abstract,0.55,0.77,96,neutral,6,0.59
2025-01-01 12:04:55,182,71,0.6,25,49,"(59, 47, 172)",153,8,geometric,0.82,0.84,99,positive,13,0.81
2025-01-01 12:05:00,357,38,0.8,24,60,"(149, 96, 234)",136,5,surreal,0.57,0.82,84,neutral,13,0.64
2025-01-01 12:05:05,392,68,0.77,24,57,"(4, 4, 106)",96,2,surreal,0.6,0.91,34,negative,19,0.47
2025-01-01 12:05:10,316,72,0.5,20,46,"(213, 72, 220)",244,7,geometric,0.55,0.83,60,negative,7,0.4
2025-01-01 12:05:15,160,73,0.95,33,67,"(130, 181, 202)",175,5,abstract,0.82,0.86,94,negative,18,0.7
2025-01-01 12:05:20,486,78,0.02,34,53,"(168, 28, 103)",55,4,surreal,0.87,0.91,88,neutral,12,0.65
2025-01-01 12:05:25,368,87,0.71,24,52,"(142, 30, 46)",158,1,surreal,0.45,0.93,41,neutral,13,0.47
2025-01-01 12:05:30,179,45,0.59,22,55,"(8, 200, 154)",76,3,geometric,0.41,0.86,103,positive,5,0.7
2025-01-01 12:05:35,437,51,0.29,33,66,"(148, 144, 123)",99,9,abstract,0.84,0.77,87,negative,6,0.49
2025-01-01 12:05:40,387,60,0.56,29,40,"(201, 77, 67)",229,1,geometric,0.42,0.71,73,neutral,10,0.55
2025-01-01 12:05:45,134,53,0.34,31,46,"(252, 226, 43)",250,8,fluid,0.74,0.8,25,positive,18,0.57
2025-01-01 12:05:50,252,38,0.91,28,63,"(68, 226, 241)",212,1,abstract,0.54,0.8,57,positive,7,0.54
2025-01-01 12:05:55,317,83,0.37,31,57,"(255, 107, 253)",116,3,fluid,0.82,0.83,37,negative,4,0.25
2025-01-01 12:06:00,144,70,0.28,24,47,"(21, 171, 128)",199,2,abstract,0.8,0.74,102,positive,16,0.86
2025-01-01 12:06:05,421,33,0.02,27,56,"(224, 85, 242)",216,6,geometric,0.83,0.96,45,positive,6,0.48
