#group,false,false,false,false,false
#datatype,double,double,string,double,dateTime:RFC3339
#default,,,,,
,humidity,light,node_id,temperature,time
,71,0,smart_art_1,20.1,2025-12-12T16:37:47.106683Z
,70.2,287,smart_art_1,19.8,2025-12-12T16:42:47.100236Z
,69.1,208,smart_art_1,19.6,2025-12-12T16:47:47.092581Z
,68.8,266,smart_art_1,19.4,2025-12-12T16:52:47.08358Z
,68.7,259,smart_art_1,19.3,2025-12-12T16:57:47.081116Z
,69,283,smart_art_1,19.2,2025-12-12T17:02:47.069972Z
,68.9,257,smart_art_1,19.1,2025-12-12T17:07:47.070712Z
,68.6,257,smart_art_1,19,2025-12-12T17:12:47.079113Z
,68.3,256,smart_art_1,18.9,2025-12-12T17:17:47.059316Z
,68.1,240,smart_art_1,18.9,2025-12-12T17:22:47.051526Z
,67.8,260,smart_art_1,18.9,2025-12-12T17:27:47.047946Z
,67.3,281,smart_art_1,18.8,2025-12-12T17:32:47.03844Z
,67.4,271,smart_art_1,18.8,2025-12-12T17:37:47.035756Z
,67.1,278,smart_art_1,18.7,2025-12-12T17:42:47.207485Z
,66.7,276,smart_art_1,18.7,2025-12-12T17:47:47.02307Z
,66.8,279,smart_art_1,18.6,2025-12-12T17:52:47.012592Z
,66.2,277,smart_art_1,18.6,2025-12-12T17:57:47.013047Z
,66,288,smart_art_1,18.6,2025-12-12T18:02:47.00727Z
,66.3,287,smart_art_1,18.5,2025-12-12T18:07:46.999344Z
,66.8,282,smart_art_1,18.6,2025-12-12T18:12:47.004281Z
,67.4,272,smart_art_1,18.6,2025-12-12T18:17:46.993361Z
,67.7,250,smart_art_1,18.5,2025-12-12T18:22:46.997717Z
,68.1,286,smart_art_1,18.4,2025-12-12T18:27:46.981335Z
,68.4,240,smart_art_1,18.3,2025-12-12T18:32:46.977648Z
,68.7,282,smart_art_1,18.3,2025-12-12T18:37:46.976105Z
,68.9,290,smart_art_1,18.3,2025-12-12T18:42:46.967006Z
,68.9,272,smart_art_1,18.3,2025-12-12T18:47:46.958324Z
,69,130,smart_art_1,18.3,2025-12-12T18:52:46.957084Z
,69.3,173,smart_art_1,18.2,2025-12-12T18:57:46.946294Z
,68.9,171,smart_art_1,18.4,2025-12-12T19:02:46.938052Z
,68.8,155,smart_art_1,18.5,2025-12-12T19:07:46.932738Z
,68.6,159,smart_art_1,18.6,2025-12-12T19:12:46.949482Z
,68.4,171,smart_art_1,18.8,2025-12-12T19:17:46.924326Z
,68.1,176,smart_art_1,18.9,2025-12-12T19:22:46.918493Z
,67.8,164,smart_art_1,19,2025-12-12T19:27:46.909705Z
,67.6,165,smart_art_1,19.1,2025-12-12T19:32:46.903498Z
,67.4,163,smart_art_1,19.2,2025-12-12T19:37:46.903889Z
,67.4,134,smart_art_1,19.2,2025-12-12T19:42:46.89937Z
,67.3,155,smart_art_1,19.3,2025-12-12T19:47:46.891161Z
,67.3,133,smart_art_1,19.3,2025-12-12T19:52:46.885696Z
,67.2,143,smart_art_1,19.3,2025-12-12T19:57:46.876964Z
,67.1,131,smart_art_1,19.4,2025-12-12T20:02:46.871237Z
,67.2,151,smart_art_1,19.4,2025-12-12T20:07:46.865198Z
,67.2,148,smart_art_1,19.4,2025-12-12T20:12:46.861778Z
,67.2,138,smart_art_1,19.4,2025-12-12T20:17:46.879595Z
,67.2,235,smart_art_1,19.4,2025-12-12T20:22:46.855867Z
,66,295,smart_art_1,20.4,2025-12-12T20:27:46.849346Z
,63.3,289,smart_art_1,21.7,2025-12-12T20:32:46.843121Z
,62.1,275,smart_art_1,22.5,2025-12-12T20:37:46.834415Z
,61.9,286,smart_art_1,22.9,2025-12-12T20:42:46.829382Z
,64.4,277,smart_art_1,22.1,2025-12-12T20:47:46.825811Z
,66.5,273,smart_art_1,21.4,2025-12-12T20:52:46.819696Z
,68,273,smart_art_1,20.9,2025-12-12T20:57:46.809957Z
,68.6,272,smart_art_1,20.8,2025-12-12T21:02:46.806264Z
,69.1,258,smart_art_1,20.7,2025-12-12T21:07:46.798797Z
,69.2,275,smart_art_1,20.7,2025-12-12T21:12:46.802137Z
,69.2,272,smart_art_1,20.7,2025-12-12T21:17:46.794471Z
,69.3,266,smart_art_1,20.7,2025-12-12T21:22:46.793312Z
,69.3,279,smart_art_1,20.7,2025-12-12T21:27:46.785527Z
,69.2,273,smart_art_1,20.7,2025-12-12T21:32:46.778327Z
,69.3,256,smart_art_1,20.7,2025-12-12T21:37:46.775269Z
,69.3,276,smart_art_1,20.6,2025-12-12T21:42:46.765449Z
,69.1,275,smart_art_1,20.7,2025-12-12T21:47:46.76417Z
,65.8,272,smart_art_1,20.1,2025-12-12T21:52:46.758327Z
,65.9,272,smart_art_1,19.9,2025-12-12T21:57:46.754319Z
,66.3,242,smart_art_1,19.8,2025-12-12T22:02:46.747993Z
,66.5,253,smart_art_1,19.8,2025-12-12T22:07:46.788555Z
,66.3,0,smart_art_1,20,2025-12-12T22:12:46.744102Z
,66.1,0,smart_art_1,20.1,2025-12-12T22:17:46.739245Z
,66.3,0,smart_art_1,20.2,2025-12-12T22:22:46.733178Z
,66.4,0,smart_art_1,20.2,2025-12-12T22:27:46.727742Z
,66.8,0,smart_art_1,20.1,2025-12-12T22:32:46.72126Z
,67,0,smart_art_1,20.1,2025-12-12T22:37:46.71657Z
,67.2,0,smart_art_1,20.1,2025-12-12T22:42:46.712212Z
,67.5,0,smart_art_1,20,2025-12-12T22:47:46.707465Z
,67.8,0,smart_art_1,20,2025-12-12T22:52:46.703548Z
,68.1,0,smart_art_1,20,2025-12-12T22:57:46.700045Z
,68.3,0,smart_art_1,19.9,2025-12-12T23:02:46.693993Z
,68.6,0,smart_art_1,19.9,2025-12-12T23:07:46.691322Z
,68.8,0,smart_art_1,19.8,2025-12-12T23:12:46.687519Z
,68.9,0,smart_art_1,19.8,2025-12-12T23:17:46.68046Z
,69.2,0,smart_art_1,19.8,2025-12-12T23:22:46.672078Z
,69.3,0,smart_art_1,19.8,2025-12-12T23:27:46.669806Z
,69.5,0,smart_art_1,19.7,2025-12-12T23:32:46.663763Z
,69.7,0,smart_art_1,19.7,2025-12-12T23:37:46.655825Z
,69.9,0,smart_art_1,19.6,2025-12-12T23:42:58.91113Z
,70.1,0,smart_art_1,19.6,2025-12-12T23:47:58.910109Z
,70.2,0,smart_art_1,19.6,2025-12-12T23:52:58.901773Z
